rule_name,religion,trait_name,accepted_values,rejected_values,custom,text,fate,day of implementation,end day,priority
tea_default,tea_religion,,,,,All are elegible to go to pugatory,purgatory,1,-,0
tea_mindful,tea_religion,tea_mood,tea_mindful,,,Only those who brewed tea mindfully go to paradise,paradise,1,-,1
tea_anger,tea_religion,tea_mood,tea_anger,,,All those who brewed tea angry go to hell,hell,1,-,5
ice_tea,tea_religion,tea_temp,tea_cold,,,All those who drank ice tea go to hell,hell,3,5,5
first_sip_share,tea_religion,tea_share,first_sip_share,,,Only those who shared the first sip with someone go to paradise,paradise,3,-,1
first_sip_denied,tea_religion,tea_share,first_sip_denied,,,All those who denied to share the first sip go to hell,hell,2,-,5
second_sip_shared,tea_religion,tea_share,second_sip_shared,first_sip_share,,"Only those who shared second sip, not first, go to purgatory",purgatory,3,6,1
tea_hot,tea_religion,tea_temp,tea_hot,,,Only those who drank the tea extremely hot are brought back to life,back to life,4,-,1
tea_cold,tea_religion,tea_temp,tea_cold,,,All those who drank the tea cold go to hell,hell,1,-,5
tea_lukewarm,tea_religion,tea_temp,tea_lukewarm,,,Only those who drank lukewarm tea go to purgatory,purgatory,5,-,1
reflect_once,tea_religion,reflection,reflect_once,,,Only those who reflected on life with a cup of tea once a week go to paradise,paradise,2,-,1
reflect_more,tea_religion,reflection,reflect_more,,,Only those who reflected on life with a cup of tea more than once a week are reincarnated,reincarnation,3,5,1
no_reflect,tea_religion,reflection,no_reflect,,,All those who don't reflect at all during the week go to hell.,hell,4,-,5
throw_leaves,tea_religion,leaves,throw_leaves,,,All those who threw away tea leaves go to hell.,hell,6,-,5
bury_leaves,tea_religion,leaves,bury_leaves,,,Only those who bury the leaves in nature go to paradise.,paradise,1,-,1
burn_leaves,tea_religion,leaves,leaves_burned,,,Only those who burn the leaves and throw the ashes into the wind are reincarnated.,reincarnation,5,-,1
reuse_leaves,tea_religion,leaves,reuse_leaves,,,All those who reuse the tea leaves and brew another tea with them go to hell.,hell,6,-,5
snail_default,snail_religion,,,,,All are elegible to go to pugatory,purgatory,1,-,0
carry_snail,snail_religion,trinket,carry_snail,,,Only those who carry the Cosmic Snail trinket go to paradise.,paradise,1,-,1
no_carry_snail,snail_religion,trinket,no_carry_snail,,,All those who don't carry any Cosmic Snail trinker go to hell.,hell,1,-,5
carry_snail_alot,snail_religion,trinket,snail_item_alot,,,Only those who carry more than one Cosmic Snail trinket are brought back to life.,back to life,5,-,1
running,snail_religion,movement,running,,,All those who are running go to hell.,hell,3,-,5
moving_fast,snail_religion,movement,moving_fast,,,"All those who move fast, but are not running go to purgatory.",purgatory,4,-,1
moving_slow,snail_religion,movement,moving_slow,,,Only those who move slow go to heaven.,paradise,1,-,1
moving_snail,snail_religion,movement,moving_snail,,,"Only those who move extremely slow, in a snail-like pace, are brought back to life. ",back to life,6,-,1
stop_once_aday,snail_religion,stop,stop_once_aday,,,All those who stop only once a day to notice something tiny and beautiful go to purgatory.,purgatory,1,-,1
stop_more_aday,snail_religion,stop,stop_more_aday,,,Only those who stop more than once a day to notice something tiny and beautiful go to paradise.,paradise,4,-,1
no_stop,snail_religion,stop,no_stop,,,All those who don't stop at all to notice something tiny and beautiul go to hell.,hell,1,-,5
harm_snail,snail_religion,protect,harm_snail,,,All those who harm snails go to hell.,hell,5,-,5
dont_protect,snail_religion,protect,dont_protect,,,"All those who don't protect small creatures when seeing them in need, go to purgatory.",purgatory,3,-,1
protect,snail_religion,protect,protect,,,"Only those who protect small creatures when seeing them in need, go to paradise. ",paradise,2,-,1
star_default,star_religion,,,,,All are elegible to go to pugatory,purgatory,1,-,0
laugh,star_religion,laugh,laugh_everyday,,,Only those who laugh daily go to paradise.,paradise,1,-,1
fake_giggle,star_religion,laugh,fake_giggle,,,All those who fake to laugh or giggle go to purgatory.,purgatory,4,-,1
